0.00472,0.00612,0.00700,0.00398,0.00882,0.00396,-0.00307,0.00750,0.00530,-0.00069,-0.00413,0.00516,-0.00353,-0.00171,0.00698,-0.00009,0.00648,-0.00449,0.00348,0.00462
-0.00261,-0.00059,0.01234,-0.00535,0.01354,0.00167,0.00135,-0.00781,0.00582,0.00988,0.00354,0.00243,-0.00409,-0.00935,0.00850,-0.00531,0.00610,-0.00295,-0.00543,-0.00907
-0.00349,0.00778,-0.00909,-0.00707,-0.00449,0.00129,-0.00187,-0.00481,0.00219,0.01366,0.00528,-0.00743,-0.00399,0.00472,0.00612,-0.00763,-0.00659,0.00852,-0.00003,-0.00695
-0.00463,-0.00281,0.00782,0.00682,-0.00157,-0.00561,0.00786,-0.00675,0.00263,0.00866,0.00696,-0.00031,-0.00145,0.00009,-0.00305,0.01232,0.00051,0.00684,0.00512,-0.00509
0.00313,0.00384,-0.00517,-0.00489,-0.00483,-0.00411,0.00041,0.00802,0.00854,0.00079,0.00157,0.00802,-0.00417,0.00259,-0.00405,0.00390,0.01582,0.01262,0.00708,-0.00681
-0.00073,0.00620,0.00644,0.00350,0.00219,0.00506,-0.00165,-0.00247,0.01386,0.02903,0.02393,0.01867,0.01969,0.00380,0.00640,-0.00353,-0.00003,0.00305,0.00682,0.00728
-0.00231,0.00374,-0.00597,0.00315,0.00554,-0.00485,0.01338,0.04742,0.06203,0.07244,0.07318,0.05649,0.05469,0.02729,0.01750,0.00656,-0.00435,0.01528,-0.00739,-0.00057
0.00824,-0.00443,-0.00205,0.00303,-0.00841,0.00384,0.03722,0.07710,0.10558,0.12031,0.12500,0.11993,0.09193,0.05947,0.04184,0.01252,-0.00265,0.00630,0.00009,0.00167
-0.00865,-0.00007,0.00694,0.00874,0.00556,0.00874,0.07482,0.11797,0.17105,0.19634,0.19760,0.18754,0.15560,0.09572,0.05477,0.03343,0.01628,-0.00553,-0.00433,-0.00079
0.00830,0.00608,-0.00407,-0.00473,0.00143,0.02285,0.10098,0.17127,0.21187,0.23403,0.25084,0.22980,0.19726,0.13638,0.06988,0.04060,0.02361,0.00864,0.00850,-0.00449
