0.15656,0.19412,0.19242,0.17615,0.19094,0.20261,0.20659,0.21834,0.21317
0.21528,0.22394,0.20861,0.19910,0.21720,0.23111,0.24533,0.25046,0.23897
0.21718,0.24227,0.23357,0.22652,0.22316,0.24834,0.25230,0.26052,0.25414
0.23477,0.23743,0.24938,0.23313,0.24798,0.25058,0.27688,0.27525,0.27381
0.24489,0.26823,0.26069,0.25038,0.25242,0.26281,0.29054,0.30515,0.28368
0.26837,0.28388,0.27634,0.25466,0.26567,0.27854,0.29871,0.31282,0.30213
0.26983,0.29493,0.28064,0.27579,0.28940,0.29781,0.32965,0.32799,0.31452
0.27455,0.30469,0.28118,0.27395,0.28132,0.29899,0.32137,0.32673,0.33495
0.26425,0.29649,0.29375,0.28594,0.29347,0.29809,0.31908,0.33051,0.31858
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-90000000.00000,-60000000.00000,-30000000.00000,0.00000,30000000.00000,60000000.00000,90000000.00000,120000000.00000
-120000000.00000,-120000000.00000,-120000000.00000,-120000000.00000,-120000000.00000,-120000000.00000,-120000000.00000,-120000000.00000,-120000000.00000
-90000000.00000,-90000000.00000,-90000000.00000,-90000000.00000,-90000000.00000,-90000000.00000,-90000000.00000,-90000000.00000,-90000000.00000
-60000000.00000,-60000000.00000,-60000000.00000,-60000000.00000,-60000000.00000,-60000000.00000,-60000000.00000,-60000000.00000,-60000000.00000
-30000000.00000,-30000000.00000,-30000000.00000,-30000000.00000,-30000000.00000,-30000000.00000,-30000000.00000,-30000000.00000,-30000000.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30000000.00000,30000000.00000,30000000.00000,30000000.00000,30000000.00000,30000000.00000,30000000.00000,30000000.00000,30000000.00000
60000000.00000,60000000.00000,60000000.00000,60000000.00000,60000000.00000,60000000.00000,60000000.00000,60000000.00000,60000000.00000
90000000.00000,90000000.00000,90000000.00000,90000000.00000,90000000.00000,90000000.00000,90000000.00000,90000000.00000,90000000.00000
120000000.00000,120000000.00000,120000000.00000,120000000.00000,120000000.00000,120000000.00000,120000000.00000,120000000.00000,120000000.00000
